iter	Passed	Remaining
802	58295	14301
803	58363	14227
804	58435	14155
805	58502	14081
806	58576	14008
807	58648	13936
808	58717	13862
809	58791	13790
810	58862	13717
811	58948	13648
812	59016	13574
813	59086	13501
814	59151	13427
815	59226	13354
816	59293	13281
817	59358	13207
818	59426	13133
819	59495	13059
820	59568	12987
821	59640	12914
822	59709	12841
823	59779	12768
824	59847	12694
825	59914	12621
826	59982	12547
827	60051	12474
828	60116	12400
829	60184	12327
830	60255	12254
831	60325	12181
832	60393	12107
833	60464	12034
834	60529	11960
835	60595	11887
836	60673	11815
837	60741	11742
838	60811	11669
839	60876	11595
840	60952	11523
841	61019	11450
842	61082	11376
843	61150	11302
844	61216	11228
845	61292	11157
846	61370	11085
847	61437	11012
848	61508	10939
849	61582	10867
850	61652	10794
851	61721	10721
852	61789	10648
853	61860	10575
854	61934	10503
855	61999	10429
856	62074	10357
857	62143	10284
858	62207	10211
859	62286	10139
860	62352	10066
861	62426	9994
862	62493	9920
863	62562	9847
864	62629	9774
865	62696	9701
866	62762	9627
867	62835	9555
868	62901	9482
869	62967	9408
870	63034	9335
871	63103	9262
872	63177	9190
873	63274	9122
874	63341	9048
875	63414	8976
876	63482	8903
877	63548	8830
878	63614	8756
879	63680	8683
880	63752	8611
881	63824	8538
882	63889	8465
883	63959	8392
884	64032	8320
885	64111	8249
886	64184	8176
887	64261	8104
888	64326	8031
889	64394	7958
890	64466	7886
891	64541	7814
892	64615	7742
893	64681	7669
894	64756	7597
895	64835	7525
896	64910	7453
897	64977	7380
898	65041	7307
899	65108	7234
900	65174	7161
901	65241	7088
902	65308	7015
903	65372	6942
904	65445	6869
905	65514	6797
906	65580	6724
907	65654	6652
908	65728	6580
909	65795	6507
910	65861	6434
911	65932	6361
912	66009	6290
913	66075	6217
914	66146	6144
915	66214	6072
916	66292	6000
917	66357	5927
918	66429	5855
919	66501	5782
920	66574	5710
921	66661	5639
922	66773	5570
923	66852	5498
924	66924	5426
925	66998	5354
926	67071	5281
927	67142	5209
928	67218	5137
929	67292	5065
930	67362	4992
931	67435	4920
932	67507	4847
933	67582	4775
934	67655	4703
935	67725	4630
936	67799	4558
937	67867	4485
938	67942	4413
939	68021	4341
940	68099	4269
941	68172	4197
942	68250	4125
943	68317	4052
944	68393	3980
945	68466	3908
946	68539	3835
947	68618	3763
948	68695	3691
949	68777	3619
950	68863	3548
951	68951	3476
952	69026	3404
953	69100	3331
954	69171	3259
955	69241	3186
956	69314	3114
957	69382	3041
958	69461	2969
959	69532	2897
960	69603	2824
961	69672	2752
962	69742	2679
963	69814	2607
964	69882	2534
965	69962	2462
966	70041	2390
967	70112	2317
968	70188	2245
969	70264	2173
970	70335	2100
971	70404	2028
972	70478	1955
973	70552	1883
974	70627	1810
975	70700	1738
976	70773	1666
977	70846	1593
978	70922	1521
979	70992	1448
980	71063	1376
981	71139	1303
982	71211	1231
983	71280	1159
984	71351	1086
985	71426	1014
986	71506	941
987	71581	869
988	71656	796
989	71736	724
990	71819	652
991	71905	579
992	71976	507
993	72050	434
994	72118	362
995	72188	289
996	72263	217
997	72336	144
998	72411	72
999	72482	0
